museum_name	address	city	state	phone_number	email	website	requirements
Anniston Museums and Gardens	800 Museum Dr, Anniston, AL 36206	Anniston	AL	(256) 237-6766	aroberts@annistonal.gov	https://www.exploreamag.org/	
Exploreum Science Center	65 Government Street, Mobile, AL 36602	Mobile	AL	(251) 208-6893	mdunklin@exploreum.com	https://www.exploreum.com/	Proof of Residence Required
Mary G. Hardin Center for Cultural Arts	501 Broad St, Gadsden, AL 35901	Gadsden	AL	(256) 543-2787	info@culturalarts.org	https://culturalarts.com	
Anchorage Museum	625 C St, Anchorage, AK 99501	Anchorage	AK	(907) 929-9200	membership@anchoragemuseum.org	https://www.anchoragemuseum.org	Proof of Residence Required
Southern Museum of Flight	4343 73rd Street North, Birmingham, AL 35206	Birmingham	AL	(205) 833-8226	info@southernmuseumofflight.org	http://www.southernmuseumofflight.org	
U.S. Space & Rocket Center	1 Tranquility Base, Huntsville, AL 35805	Huntsville	AL	(800) 637-7223	camps@spacecamp.com	https://rocketcenter.com	Proof of Residence Required
McWane Science Center	200 19th St N, Birmingham, AL 35203	Birmingham	AL	(205) 714-8300	membership@mcwane.org	https://www.mcwane.org	
Arizona Museum of Natural History	53 N MacDonald, Mesa, AZ 85201-7325	Mesa	AZ	(480) 644-2230	admin@azmnhfdn.org	https://www.arizonamuseumofnaturalhistory.org/	
Arizona Science Center	600 E Washington St, Phoenix, AZ 85004	Phoenix	AZ	(602) 716-2000	membership@azscience.org	https://www.azscience.org/	
Flandrau Science Center & Planetarium	1601 East University Boulevard, Tucson, AZ 85721	Tucson	AZ	(520) 621-4516	flandrau@arizona.edu	https://www.flandrau.org/	
Lowell Observatory	1400 W Mars Hill Rd, Flagstaff, AZ 86001	Flagstaff	AZ	(928) 774-3358	membership@lowell.edu	https://lowell.edu	
Meteor Crater & Barringer Space Museum	I40, Exit 233, Winslow, AZ, 86047	Winslow	AZ	(928) 289-5898	info@meteorcrater.com	https://meteorcrater.com/	
Science Vortex of the Verde Valley	301 N. Willard St. Room 202, Cottonwood, AZ 86326	Cottonwood	AZ	(928) 225-7830	info@sciencevortex.org	https://sciencevortex.org/	Proof of Residence Required
Bay Area Discovery Museum	557 McReynolds Rd, Sausalito, CA 94965	Sausalito	CA	(415) 339-3936	membership@badm.org	https://bayareadiscoverymuseum.org/	Proof of Residence Required
Buena Vista Museum of Natural History and Science	2018 Chester Ave, Bakersfield, CA 93301	Bakersfield	CA	(661) 324-6350	info@buenavistamuseum.org	https://www.buenavistamuseum.org/	
California Science Center	700 Exposition Park Drive, Los Angeles, CA 90037	Los Angeles	CA	(323) 724-3623	member@californiasciencecenter.org	https://californiasciencecenter.org/	Proof of Residence Required
Scott Family Amazeum	1009 Museum Way, Bentonville, AR 72712	Bentonville	AR	(479) 696-9280	membership@amazeum.org	https://www.amazeum.org/	Proof of Residence Required
Mid-America Science Museum	500 Mid-America Boulevard, Hot Springs, AR 71913	Hot Springs	AR				
Chabot Space & Science Center	10000 Skyline Blvd, Oakland, CA 94619	Oakland	CA	(510) 336-7300	membership@chabotspace.org	https://chabotspace.org/	Proof of Residence Required
Children's Creativity Museum	221 4th St, San Francisco, CA	San Francisco	CA	(415) 820-3320	info@creativity.org	https://creativity.org	
Children's Museum at La Habra	301 S Euclid Street, La Habra, CA 90631	La Habra	CA	(562) 383-4236	museumstaff@lahabraca.gov	https://www.lhcm.org/	Proof of Residence Required
Columbia Memorial Space Center	12400 Columbia Way, Downey, CA 90242	Downey	CA	(562) 231-1200	Reservations@DowneySpaceCenter.org	https://www.columbiaspacescience.org/	Proof of Residence Required
CuriOdyssey	1651 Coyote Point Dr, San Mateo, CA 94401	San Mateo	CA	(650) 342-7755	membership@curiodyssey.org	https://curiodyssey.org/	Proof of Residence Required
Discovery Cube Los Angeles	11800 Foothill Blvd., Sylmar, CA 91342	Sylmar	CA	(818) 686-2823		https://www.discoverycube.org/members/	
Discovery Cube Orange County	2500 N Main St, Santa Ana, CA 92705	Santa Ana	CA	(714) 542-2823		https://www.discoverycube.org/members/	Proof of Residence Required
Exploratorium	Pier 15, San Francisco, CA 94111	San Francisco	CA	(415) 528-4321	membership@exploratorium.edu	https://www.exploratorium.edu	Proof of Residence Required
Fleet Science Center	1875 El Prado, San Diego, CA 92101	San Diego	CA	(619) 238-1233	membership@rhfleet.org	https://www.fleetscience.org/	Proof of Residence Required
Gateway Science Museum	625 Esplanade (near Bidwell Mansion) Chico, CA 95929–0545	Chico	CA	(530) 898-4121	gateway@csuchico.edu	https://www.csuchico.edu/gateway	
Kern County Museum	3801 Chester Ave, Bakersfield, CA 93301	Bakersfield	CA	(661) 437-3330	bebe@kerncountymuseum.org	https://kerncountymuseum.org/	
Kidspace Children's Museum	480 N Arroyo Blvd, Pasadena, CA 91103	Pasadena	CA	(626) 449-9144	membership@kidspacemuseum.org	https://kidspacemuseum.org	Proof of Residence Required
Lindsay Wildlife Experience	1931 1st Ave, Walnut Creek, CA 94597	Walnut Creek	CA	(925) 935-1978	membership@lindsaywildlife.org	https://lindsaywildlife.org/	
Maturango Museum of the Indian Wells Valley	100 E Las Flores Ave, Ridgecrest, CA 93555	Ridgecrest	CA	(760) 375-6900	info@maturango.org	https://maturango.org/	
MOXI The Wolf Museum of Exploration + Innovation	125 State St, Santa Barbara, CA 93101	Santa Barbara	CA	(805) 770-5000	members@moxi.org	https://moxi.org/	Proof of Residence Required
Natural History Museum of Cal Poly Humboldt	1242 G Street, Arcata, CA 95521	Arcata	CA	707) 826-4480	natmus@humboldt.edu	https://natmus.humboldt.edu/	
Natural History Museums of Los Angeles County	900 Exposition Blvd, Los Angeles, CA 90007	Los Angeles	CA	(213) 763-3426	members@nhm.org	https://nhmlac.org/	Proof of Residence Required
Placer Nature Center	3700 Christian Valley Rd, Auburn, CA 95602	Auburn	CA	(530) 878-6053	kgreene@placernaturecenter.org	https://placernaturecenter.org/	
Sacramento Children's Museum	2701 Prospect Park Drive, Rancho Cordova, CA 95670	Rancho Cordova	CA	(916) 730-5079	Membership@sackids.org	https://sackids.org	Proof of Residence Required
San Diego Natural History Museum	1788 El Prado, Balboa Park, San Diego, CA 92101	San Diego	CA	(619) 232-3821	membership@sdnhm.org	https://www.sdnhm.org/	
Santa Barbara Museum of Natural History	2559 Puesta Del Sol, Santa Barbara, CA 93105	Santa Barbara	CA	(805) 682-4711	membership@sbnature2.org	https://www.sbnature.org/	Proof of Residence Required
Santa Cruz Museum of Natural History	1305 E Cliff Dr, Santa Cruz, CA 95062	Santa Cruz	CA	(831) 420-6115	info@santacruzmuseum.org	https://www.santacruzmuseum.org/	
SMUD Museum of Science and Curiosity (MOSAC)	400 Jibboom Street, Sacramento, CA 95811	Sacramento	CA	(916) 674-5000	membership@visitmosac.org	https://visitmosac.org/	Proof of Residence Required
The Lawrence Hall of Science	1 Centennial Dr, Berkeley, CA 94720	Berkeley	CA	(510) 642-5132	thelawrencemembers@berkeley.edu	https://lawrencehallofscience.org/	Proof of Residence Required
The Tech Interactive	201 S Market St, San Jose, CA 95113	San Jose	CA	(408) 294-8324	membership@thetech.org	https://www.thetech.org/	Proof of Residence Required
Turtle Bay Exploration Park	844 Sundial Bridge Dr, Redding, CA 96001	Redding	CA	(530) 243-8850	info@turtlebay.org	https://www.turtlebay.org/	
Denver Museum of Nature and Science	2001 N Colorado Blvd, Denver, CO 80205	Denver	CO	(303) 370-6306	members@dmns.org	https://www.dmns.org/	Proof of Residence Required
Fort Collins Museum of Discovery	408 Mason Ct, Fort Collins, CO 80524	Fort Collins	CO	(970) 221-6738	membership@fcmod.org	https://fcmod.org/	
World of Wonders Science Museum	2 North Sacramento Street, Lodi, CA 95240	Lodi	CA	(209) 368-0969	Membership@wowsciencemuseum.org	https://www.wowsciencemuseum.org/	
Space Foundation Discovery Center	4425 Arrowswest Dr, Colorado Springs, CO 80907	Colorado Springs	CO	(719) 576-8000	guestrelations@spacefoundationd.org	https://www.discoverspace.org/	
The Powerhouse	1333 Camino Del Rio, Durango, CO 81301	Durango	CO	(970) 259-9234	info@powsci.org	https://powsci.org/	
United States Olympic and Paralympic Museum	200 S Sierra Madre St, Colorado Springs, CO 80903	Colorado Springs	CO	(719) 497-1234	membership@usopm.org	https://usopm.org/	Proof of Residence Required
Connecticut Science Center	250 Columbus Boulevard, Hartford, CT 06103	Hartford	CT	(860) 724-3623	membership@ctsciencecenter.org	https://ctsciencecenter.org/	Proof of Residence Required
Lutz Children's Museum	247 S Main St, Manchester, CT 06040	Manchester	CT	(860) 643-0949	frontdesk@lutzmuseum.org	https://lutzmuseum.org/	
